Fossil Family,Body part,Original Cost,Adjusted Cost
Thescelosauridae,Composite skeleton,499210.53,579220.75
Hypsilophodontidae,Skull,347415.74,397552.84
Tarbosauridae,Skull,1180340.44,1293987.4
Unidentified,Femur,214353.91,228164.09
Thescelosauridae,Partial skeleton,463578.76,489306.34
Ceratopsidae,Femur,831655.07,928692.14
Tyrannosauridae,Femur,4327275.59,5084519.51
Stegosauridae,Skeleton,15189398.31,17627773.48
Diplodocidae,Composite skeleton,4371834.18,5152793.94
Apatosauridae,Nest with eggs,2400471.44,2590552.02
Apatosauridae,Articulated leg,6172667.74,7290723.34
Hadrosauridae,Partial skeleton,1684285.33,1914032.0
Apatosauridae,Femur,4916688.63,5697828.31
Allosauridae,Partial skeleton,2571330.05,2819949.58
Unidentified,Skull,278727.79,333007.09
Diplodocidae,Nest with eggs,1697712.53,1888048.97
Tarbosauridae,Partial skeleton,1823000.77,1955662.79
Allosauridae,Skull,1986447.39,2193408.95
Apatosauridae,Partial skeleton,7245655.69,8204761.8
Diplodocidae,Virtually complete skeleton,4001846.85,4277357.35
Unidentified,Partial skeleton,337433.22,370497.7
Ceratopsidae,Femur,537357.8,591767.69
Diplodocidae,Virtually complete skeleton,4676925.29,5152355.42
Tarbosauridae,Partial skeleton,2031826.7,2422547.77
Stegosauridae,Skull,11170982.95,12284227.64
Tyrannosauridae,Composite skeleton,6354266.43,7618292.41
Dromaeosauridae,Nest with eggs,1186904.99,1356178.31
Dromaeosauridae,Composite skeleton,2952565.81,3220837.09
Hypsilophodontidae,Nest with eggs,146439.43,169944.28
Ceratopsidae,Femur,596939.19,646617.63
Thescelosauridae,Skull,318829.26,356358.24
Hadrosauridae,Articulated leg,908646.05,967021.02
Ceratopsidae,Nest with eggs,462592.56,503502.6
Thescelosauridae,Nest with eggs,156866.72,181006.19
Apatosauridae,Nest with eggs,3039127.36,3385005.77
Apatosauridae,Nest with eggs,3088690.53,3512978.33
Diplodocidae,Articulated leg,2964469.06,3433843.73
Hypsilophodontidae,Skeleton,626344.34,747727.08
Dromaeosauridae,Nest with eggs,1252222.63,1349039.72
Camptosauridae,Partial skeleton,809769.84,927965.63
Thescelosauridae,Articulated leg,310559.49,334894.02
Tarbosauridae,Skeleton,2313703.43,2617918.55
Camptosauridae,Skull,822194.01,947893.64
Dromaeosauridae,Skeleton,4291351.63,4822641.61
Thescelosauridae,Partial skeleton,405459.72,468037.92
Allosauridae,Femur,2018024.9,2232956.13
Thescelosauridae,Skull,267776.27,296516.94
Stegosauridae,Skeleton,13241289.71,15190218.41
Camptosauridae,Articulated leg,629104.43,680263.97
Unidentified,Skeleton,383117.98,449244.46
Dromaeosauridae,Partial skeleton,3495916.81,4075859.56
Ceratopsidae,Virtually complete skeleton,1400991.61,1537560.91
Diplodocidae,Skeleton,4296309.06,5038850.46
Thescelosauridae,Virtually complete skeleton,653877.01,777299.83
Apatosauridae,Nest with eggs,2987516.53,3255186.87
Diplodocidae,Femur,2461628.53,2792852.54
Thescelosauridae,Partial skeleton,465920.63,495306.17
Unidentified,Articulated leg,235577.22,277851.97
Tarbosauridae,Composite skeleton,1882576.82,2097115.98
Apatosauridae,Partial skeleton,7054585.78,8140900.13
Diplodocidae,Composite skeleton,4879542.81,5681216.71
Hypsilophodontidae,Femur,329726.72,350671.8
Hypsilophodontidae,Composite skeleton,662164.04,710443.4
Unidentified,Femur,245021.54,281628.6
Apatosauridae,Skeleton,8478723.35,9529498.95
Hypsilophodontidae,Partial skeleton,544026.08,573083.95
Tarbosauridae,Partial skeleton,1866201.29,2206600.81
Stegosauridae,Skeleton,18462829.91,22033586.22
Allosauridae,Skeleton,2807135.24,3248368.53
Thescelosauridae,Articulated leg,375148.45,404085.48
Thescelosauridae,Partial skeleton,455538.18,523513.02
Dromaeosauridae,Virtually complete skeleton,4377255.31,4938992.56
Allosauridae,Skull,1958345.83,2218589.52
Hypsilophodontidae,Femur,343099.64,394341.16
Tyrannosauridae,Skeleton,7497669.61,8050153.19
Tyrannosauridae,Virtually complete skeleton,9120730.61,10254089.55
Tyrannosauridae,Partial skeleton,5727367.69,6240335.5
Thescelosauridae,Skeleton,574946.96,644475.46
Hypsilophodontidae,Composite skeleton,460775.14,528721.98
Allosauridae,Skull,1747681.62,1954998.12
Apatosauridae,Articulated leg,5337614.76,5671406.14
Stegosauridae,Skeleton,12774488.39,14894572.76
Diplodocidae,Virtually complete skeleton,4116506.37,4781170.36
Ceratopsidae,Skull,792761.73,914290.68
Hypsilophodontidae,Femur,321475.71,346918.22
Hadrosauridae,Articulated leg,1060135.42,1196885.46
Hadrosauridae,Skull,1197515.55,1293124.84
Camptosauridae,Virtually complete skeleton,1157916.21,1231141.2
Unidentified,Femur,234520.39,250436.77
Allosauridae,Skeleton,3477203.02,3811671.64
Tarbosauridae,Skeleton,2214190.0,2330602.55
Dromaeosauridae,Skeleton,3327308.16,3900186.11
Hadrosauridae,Nest with eggs,611427.33,700021.28
Hadrosauridae,Composite skeleton,1849837.36,2095870.17
Allosauridae,Skull,1938320.38,2196987.7
Stegosauridae,Partial skeleton,9576382.68,11321298.47
Dromaeosauridae,Nest with eggs,1479940.65,1577152.31
Stegosauridae,Nest with eggs,5183237.04,6167417.84
Stegosauridae,Skull,9116117.69,10229847.93
Ceratopsidae,Nest with eggs,372686.92,416637.95
Camptosauridae,Composite skeleton,948897.78,1050536.98
Camptosauridae,Skull,585384.47,680757.54
Diplodocidae,Nest with eggs,1284180.25,1528500.4
Hypsilophodontidae,Skull,384418.64,409667.92
Thescelosauridae,Nest with eggs,155123.7,182610.61
Diplodocidae,Femur,2185336.91,2442000.1
Camptosauridae,Nest with eggs,324163.42,348786.8
Allosauridae,Nest with eggs,1080079.94,1207554.49
Unidentified,Articulated leg,306232.59,357882.56
Apatosauridae,Femur,4607715.15,5022183.44
Thescelosauridae,Femur,281498.44,310952.07
Dromaeosauridae,Composite skeleton,4053224.1,4611053.59
Stegosauridae,Skull,9475018.3,10756785.58
Hypsilophodontidae,Skull,408424.93,483680.34
Diplodocidae,Skull,3130749.38,3418043.65
Dromaeosauridae,Skull,2647434.28,2920167.53
Unidentified,Partial skeleton,325771.35,370187.02
Apatosauridae,Composite skeleton,8510760.26,10167587.94
Hypsilophodontidae,Femur,309305.17,347327.91
Apatosauridae,Articulated leg,5067697.96,5531885.68
Tyrannosauridae,Skull,5089157.96,5791548.76
Apatosauridae,Skull,6505486.57,7784891.39
Unidentified,Virtually complete skeleton,553842.27,598933.75
Diplodocidae,Nest with eggs,1457745.01,1540709.44
Thescelosauridae,Partial skeleton,414617.53,460646.04
Ceratopsidae,Virtually complete skeleton,1352331.65,1462119.78
Diplodocidae,Skull,3160374.57,3748169.73
Apatosauridae,Virtually complete skeleton,10100154.59,11124678.84
Diplodocidae,Skeleton,4497764.84,5289063.57
Unidentified,Skull,331898.2,375040.0
Tarbosauridae,Virtually complete skeleton,2618587.41,2795233.48
Dromaeosauridae,Virtually complete skeleton,4086382.38,4669004.93
Hadrosauridae,Femur,939085.01,1008161.19
Unidentified,Nest with eggs,134760.7,156595.95
Diplodocidae,Partial skeleton,3262523.93,3828891.43
Allosauridae,Skull,1994244.01,2213920.19
Hadrosauridae,Partial skeleton,1402315.26,1605405.58
Hypsilophodontidae,Nest with eggs,179837.98,205256.44
Hypsilophodontidae,Composite skeleton,516567.69,568349.92
Allosauridae,Nest with eggs,920061.63,1039680.46
Stegosauridae,Skeleton,14568542.96,15682235.4
Dromaeosauridae,Composite skeleton,3627679.24,4099478.69
Unidentified,Skull,291820.57,339696.52
Hypsilophodontidae,Skeleton,539816.16,645630.19
Unidentified,Skull,287774.74,302775.96
Tyrannosauridae,Nest with eggs,2778328.94,3174151.71
Allosauridae,Nest with eggs,1043359.48,1183400.18
Dromaeosauridae,Femur,1966070.34,2221939.34
Thescelosauridae,Composite skeleton,491338.62,533367.74
Hadrosauridae,Skeleton,2153819.33,2354540.12
Camptosauridae,Articulated leg,530599.46,566068.09
Stegosauridae,Composite skeleton,16771742.34,17894502.36
Tarbosauridae,Virtually complete skeleton,2231139.79,2357133.56
Camptosauridae,Nest with eggs,282843.28,299329.55
Apatosauridae,Femur,4503062.43,4963230.7
Tarbosauridae,Partial skeleton,1879399.01,1994106.99
Thescelosauridae,Nest with eggs,151742.12,180007.43
Ceratopsidae,Composite skeleton,1017480.08,1149771.09
Diplodocidae,Articulated leg,2946147.81,3429898.24
Diplodocidae,Composite skeleton,3828756.03,4228783.24
Unidentified,Femur,248247.26,263363.77
Apatosauridae,Nest with eggs,3251669.61,3506848.23
Diplodocidae,Femur,2894342.67,3069276.77
Diplodocidae,Articulated leg,2267421.21,2399965.94
Dromaeosauridae,Composite skeleton,3564504.39,4070637.42
Thescelosauridae,Articulated leg,281832.17,301563.71
Apatosauridae,Skeleton,9681040.94,11303748.39
Hadrosauridae,Articulated leg,995413.61,1108030.86
Tarbosauridae,Skeleton,1869446.58,2225728.39
Stegosauridae,Virtually complete skeleton,15738711.16,18471746.71
Camptosauridae,Skull,648452.43,715829.39
Ceratopsidae,Partial skeleton,895034.57,977803.72
Stegosauridae,Partial skeleton,13545092.89,15076515.35
Thescelosauridae,Virtually complete skeleton,618008.92,694849.61
Unidentified,Nest with eggs,154371.28,179252.03
Diplodocidae,Skeleton,4226311.22,4733718.16
Unidentified,Femur,239234.71,261388.82
Tyrannosauridae,Skeleton,6494317.62,6962089.03
Unidentified,Skull,255696.17,306202.91
Apatosauridae,Composite skeleton,8089872.26,8635157.91
Thescelosauridae,Partial skeleton,400962.36,425332.07
Stegosauridae,Articulated leg,10931190.0,12877501.68
Dromaeosauridae,Nest with eggs,1042806.25,1216119.18
Hadrosauridae,Virtually complete skeleton,2215486.11,2504902.13
Allosauridae,Composite skeleton,2249370.66,2362043.11
Stegosauridae,Articulated leg,9054087.38,10667232.35
Allosauridae,Composite skeleton,2876495.61,3232498.25
Unidentified,Femur,252624.11,301995.78
Thescelosauridae,Femur,286988.13,336939.98
Tarbosauridae,Virtually complete skeleton,2282227.99,2652575.75
Thescelosauridae,Articulated leg,302546.4,345384.15
Hadrosauridae,Partial skeleton,1581747.38,1826035.75
Diplodocidae,Skull,3221624.52,3721983.29
Allosauridae,Virtually complete skeleton,3309632.75,3652600.57
Allosauridae,Articulated leg,2062411.05,2400003.84
Unidentified,Skull,261106.16,298757.61
Stegosauridae,Articulated leg,8927588.35,9762528.37
Tarbosauridae,Composite skeleton,1844455.29,2017776.58
Hadrosauridae,Partial skeleton,1451798.03,1738731.07
Ceratopsidae,Skull,786539.31,877946.38
Hypsilophodontidae,Composite skeleton,585114.83,628589.72
Hypsilophodontidae,Femur,273544.59,306961.55
Tyrannosauridae,Femur,4071992.23,4434156.73
Hadrosauridae,Partial skeleton,1571796.29,1662504.23
Tyrannosauridae,Articulated leg,5253018.86,5825084.36
Apatosauridae,Skeleton,9974028.56,10541562.73
Unidentified,Partial skeleton,355516.98,380440.42
Tarbosauridae,Skull,1525390.14,1701666.08
Hypsilophodontidae,Skull,329928.8,346452.85
Unidentified,Skeleton,507821.31,583370.52
Hadrosauridae,Skeleton,1933328.04,2140282.76
Tyrannosauridae,Virtually complete skeleton,9383916.41,11192759.61
Hadrosauridae,Nest with eggs,672528.16,741108.37
Tyrannosauridae,Composite skeleton,6609862.95,7620473.89
Tyrannosauridae,Articulated leg,4389400.45,5170231.41
Apatosauridae,Composite skeleton,10178019.55,11254588.85
Apatosauridae,Skeleton,7121692.53,7728235.08
Unidentified,Articulated leg,231816.28,268071.95
Hypsilophodontidae,Virtually complete skeleton,630118.68,745853.4
Tyrannosauridae,Articulated leg,4310620.78,4550875.22
Allosauridae,Composite skeleton,2475119.43,2609583.21
Camptosauridae,Skull,630373.75,717805.34
Dromaeosauridae,Nest with eggs,1430372.22,1506780.09
Stegosauridae,Virtually complete skeleton,18683989.34,20989734.49
Tarbosauridae,Partial skeleton,1824516.44,1928519.03
Hypsilophodontidae,Nest with eggs,224414.19,257184.45
Thescelosauridae,Virtually complete skeleton,604051.29,694296.34
Unidentified,Articulated leg,252234.7,292180.02
Unidentified,Articulated leg,275573.3,300013.29
Tarbosauridae,Articulated leg,1558830.59,1663969.2
Ceratopsidae,Nest with eggs,414513.1,452903.65
Hypsilophodontidae,Nest with eggs,216858.69,233230.32
Camptosauridae,Skull,720973.97,758566.78
Stegosauridae,Femur,7235418.36,7884178.65
Hypsilophodontidae,Partial skeleton,516467.13,587629.78
Thescelosauridae,Nest with eggs,167860.49,181145.02
Stegosauridae,Femur,8253182.1,9352012.3
Tarbosauridae,Virtually complete skeleton,2323933.73,2579657.42
Diplodocidae,Nest with eggs,1258678.07,1479120.28
Camptosauridae,Partial skeleton,830701.58,967615.42
Stegosauridae,Femur,6317458.67,7382912.19
Stegosauridae,Composite skeleton,15179736.19,17633315.51
Apatosauridae,Composite skeleton,8448430.78,9819402.57
Diplodocidae,Virtually complete skeleton,5408990.29,6357453.34
Apatosauridae,Skull,5022860.81,5956488.88
Stegosauridae,Virtually complete skeleton,16037064.96,18871048.77
Thescelosauridae,Skeleton,526026.09,621068.06
Ceratopsidae,Composite skeleton,1298213.88,1553537.4
Allosauridae,Partial skeleton,2462096.36,2661174.98
Camptosauridae,Femur,538979.8,592056.31
Camptosauridae,Nest with eggs,315733.7,337639.2
Stegosauridae,Skull,11491076.46,12891259.31
Stegosauridae,Articulated leg,10716517.97,11845539.94
Thescelosauridae,Articulated leg,333160.09,376738.84
Unidentified,Nest with eggs,173974.35,192595.82
Ceratopsidae,Articulated leg,882320.35,1013583.55
Diplodocidae,Composite skeleton,4777176.29,5085381.8
Thescelosauridae,Composite skeleton,497910.92,574813.52
Tarbosauridae,Partial skeleton,1817557.52,2176689.52
Allosauridae,Skull,1971828.47,2099006.41
Tarbosauridae,Skeleton,1938679.39,2082414.35
Stegosauridae,Virtually complete skeleton,17488262.94,18516488.0
Apatosauridae,Composite skeleton,7663813.51,8538890.66
Diplodocidae,Skeleton,3978471.39,4297080.71
Hypsilophodontidae,Articulated leg,359399.24,419672.08
Apatosauridae,Femur,5240318.29,5524722.21
Allosauridae,Femur,1677090.09,1966679.05
Ceratopsidae,Nest with eggs,442405.38,510072.19
Hadrosauridae,Virtually complete skeleton,2147531.39,2549221.39
Apatosauridae,Articulated leg,5238691.27,5918976.62
Hadrosauridae,Articulated leg,1075200.08,1168476.61
Dromaeosauridae,Partial skeleton,3362364.43,3857026.25
Thescelosauridae,Nest with eggs,185330.28,204708.23
Diplodocidae,Partial skeleton,3418996.46,3789965.15
Unidentified,Composite skeleton,379223.8,405985.0
Thescelosauridae,Femur,295287.78,353778.01
Stegosauridae,Composite skeleton,12095489.42,14491672.44
Dromaeosauridae,Composite skeleton,3492549.41,4097265.77
Dromaeosauridae,Skull,2591218.77,2912360.39
Diplodocidae,Femur,2334925.69,2781565.29
Allosauridae,Composite skeleton,2704794.94,2902602.92
Stegosauridae,Partial skeleton,13589067.87,14877640.24
Dromaeosauridae,Partial skeleton,2668772.19,2815007.6
Hypsilophodontidae,Virtually complete skeleton,579928.59,632592.57
Apatosauridae,Virtually complete skeleton,9689720.97,10240968.02
Thescelosauridae,Skull,326304.16,359448.11
Tyrannosauridae,Articulated leg,4455829.55,4851613.54
Diplodocidae,Partial skeleton,3747817.75,4338660.55
Apatosauridae,Skeleton,9605980.4,10681710.14
Allosauridae,Partial skeleton,2113285.3,2319107.15
Unidentified,Skull,323026.17,357399.63
Camptosauridae,Femur,598749.58,670939.63
Hypsilophodontidae,Articulated leg,355709.7,375669.54
Apatosauridae,Partial skeleton,6586277.93,7416144.7
Ceratopsidae,Partial skeleton,1034952.01,1176315.52
Camptosauridae,Nest with eggs,266538.68,318588.3
Thescelosauridae,Articulated leg,354421.0,379017.46
Dromaeosauridae,Nest with eggs,1165330.95,1346622.39
Stegosauridae,Femur,8553697.05,9776890.05
Camptosauridae,Composite skeleton,1145879.23,1238533.47
Apatosauridae,Articulated leg,5602570.6,6378575.21
Diplodocidae,Skeleton,4341004.51,4885581.3
Allosauridae,Femur,1402875.65,1566519.75
Allosauridae,Skull,1946105.36,2290953.08
Thescelosauridae,Femur,264097.15,297042.61
Apatosauridae,Partial skeleton,7577505.58,8246819.04
Diplodocidae,Skull,2692285.03,3190830.56
Ceratopsidae,Partial skeleton,835074.48,995231.52
Apatosauridae,Articulated leg,5507634.42,6534898.58
Thescelosauridae,Composite skeleton,512442.99,581623.23
Camptosauridae,Skeleton,1140588.19,1253889.98
Ceratopsidae,Femur,664870.75,790323.52
Ceratopsidae,Femur,642961.77,690053.05
Diplodocidae,Skull,2943675.83,3390564.16
Apatosauridae,Femur,4440617.57,4940726.28
Tyrannosauridae,Composite skeleton,6633846.29,7923416.53
Hadrosauridae,Virtually complete skeleton,2224267.64,2539335.18
Dromaeosauridae,Partial skeleton,2883027.9,3158596.67
Hadrosauridae,Composite skeleton,1564437.9,1682732.96
Camptosauridae,Skull,655296.49,733866.33
Hadrosauridae,Virtually complete skeleton,2252045.43,2392089.12
Apatosauridae,Composite skeleton,8189352.08,8712488.25
Allosauridae,Nest with eggs,1018718.04,1181600.32
Diplodocidae,Femur,2492080.13,2771598.82
Dromaeosauridae,Skull,2699218.52,3001748.45
Hypsilophodontidae,Articulated leg,361789.29,419088.79
Stegosauridae,Articulated leg,7453687.96,8887107.72
Tarbosauridae,Skeleton,2449859.04,2652397.78
Apatosauridae,Composite skeleton,8487762.37,9255329.8
Unidentified,Nest with eggs,162262.81,181023.71
Camptosauridae,Composite skeleton,1000273.06,1070016.42
Tyrannosauridae,Skeleton,9303102.58,10795139.32
Dromaeosauridae,Virtually complete skeleton,4186965.74,4736535.21
Camptosauridae,Composite skeleton,1019449.08,1104337.67
Allosauridae,Femur,1549280.35,1693089.65
Unidentified,Articulated leg,292528.23,310473.66
Tarbosauridae,Composite skeleton,1900365.36,2246537.29
Diplodocidae,Virtually complete skeleton,4745867.33,5178810.3
Allosauridae,Femur,1522875.41,1734343.88
Ceratopsidae,Partial skeleton,915146.9,1001971.58
Hadrosauridae,Virtually complete skeleton,2458057.54,2856067.3
Allosauridae,Skull,1923538.06,2054501.12
Thescelosauridae,Composite skeleton,487318.17,552122.07
Hadrosauridae,Partial skeleton,1424302.27,1612811.8
Unidentified,Virtually complete skeleton,483089.62,540631.72
Hypsilophodontidae,Composite skeleton,594387.59,694751.3
Dromaeosauridae,Composite skeleton,3362335.29,3695368.58
Apatosauridae,Nest with eggs,2467359.77,2706646.13
Stegosauridae,Nest with eggs,4701589.75,5076779.45
Unidentified,Nest with eggs,168575.09,179616.02
Diplodocidae,Skeleton,4771951.89,5569766.7
Camptosauridae,Partial skeleton,736927.54,863567.29
Dromaeosauridae,Femur,2395867.63,2798570.92
Unidentified,Partial skeleton,342332.0,376842.35
Apatosauridae,Partial skeleton,6703050.26,7107114.84
Apatosauridae,Nest with eggs,3285802.18,3706016.41
Camptosauridae,Partial skeleton,855178.97,993379.81
Apatosauridae,Articulated leg,6302673.82,6994305.1
Unidentified,Virtually complete skeleton,470655.89,542961.18
Stegosauridae,Articulated leg,9087481.5,10658860.75
Thescelosauridae,Virtually complete skeleton,642736.44,750610.56
Hypsilophodontidae,Partial skeleton,494645.29,585220.97
Stegosauridae,Virtually complete skeleton,17467817.78,20253759.45
Thescelosauridae,Skeleton,509340.78,558429.5
Apatosauridae,Skeleton,9408827.21,11033021.62
Unidentified,Skeleton,493404.02,550116.87
Tarbosauridae,Partial skeleton,2159579.62,2465454.58
Stegosauridae,Femur,8959199.29,9864248.68
Ceratopsidae,Skull,818085.42,884099.14
Dromaeosauridae,Partial skeleton,3582501.12,3918570.35
Apatosauridae,Partial skeleton,8089223.95,9476545.58
Allosauridae,Partial skeleton,2288632.54,2682319.4
Diplodocidae,Skull,3378765.33,3698712.23
Hypsilophodontidae,Composite skeleton,379186.96,421422.4
Allosauridae,Composite skeleton,3117028.24,3283861.93
Camptosauridae,Nest with eggs,366176.34,411003.22
Diplodocidae,Composite skeleton,4437160.84,4825595.77
Dromaeosauridae,Femur,1767371.96,1941552.76
Allosauridae,Nest with eggs,1059290.27,1249042.05
Stegosauridae,Composite skeleton,13708216.82,15882135.69
Unidentified,Virtually complete skeleton,494835.76,519989.63
Camptosauridae,Skeleton,1102942.32,1247979.76
Hypsilophodontidae,Femur,328673.82,350077.92
Unidentified,Partial skeleton,390721.67,435412.29
Ceratopsidae,Partial skeleton,1021122.51,1210472.62
Dromaeosauridae,Composite skeleton,3752665.18,4231639.5
Stegosauridae,Virtually complete skeleton,16236881.26,17466971.74
Hadrosauridae,Partial skeleton,1278094.2,1346710.92
Dromaeosauridae,Skull,2774386.74,3080942.5
Thescelosauridae,Nest with eggs,182584.94,218219.37
Hadrosauridae,Skull,1249298.45,1352904.3
Dromaeosauridae,Composite skeleton,3896657.72,4472398.44
Apatosauridae,Femur,3934387.87,4214583.04
Diplodocidae,Femur,2549051.09,3021093.9
Hadrosauridae,Skull,1239534.49,1452483.12
Unidentified,Articulated leg,288361.62,333100.69
Ceratopsidae,Nest with eggs,405931.08,480511.81
Hypsilophodontidae,Femur,298629.17,327040.83
Tarbosauridae,Composite skeleton,2095153.85,2501924.52
Dromaeosauridae,Virtually complete skeleton,4430320.31,4686878.71
Dromaeosauridae,Virtually complete skeleton,4219825.72,4785617.53
Camptosauridae,Virtually complete skeleton,1009032.21,1077383.37
Apatosauridae,Composite skeleton,8199779.48,9747975.94
Hadrosauridae,Nest with eggs,643519.28,686416.53
Hadrosauridae,Skeleton,1680546.01,2009002.79
Dromaeosauridae,Virtually complete skeleton,3388959.76,3721850.43
Tyrannosauridae,Nest with eggs,2855285.15,3417229.91
Hadrosauridae,Skull,1251882.86,1454815.4
Thescelosauridae,Virtually complete skeleton,603452.23,646671.56
Hadrosauridae,Skull,976382.75,1049294.73
Tarbosauridae,Virtually complete skeleton,2734006.0,3269195.29
Ceratopsidae,Virtually complete skeleton,1523316.08,1706434.4
Thescelosauridae,Articulated leg,313909.15,352693.26
Tarbosauridae,Skull,1435129.34,1563824.6
Apatosauridae,Skeleton,8264674.07,9866476.2
Thescelosauridae,Skeleton,601728.91,687083.84
Dromaeosauridae,Nest with eggs,1519532.41,1610661.9
Diplodocidae,Skull,3397407.3,3962825.88
Camptosauridae,Partial skeleton,814798.57,887688.05
Allosauridae,Nest with eggs,1020722.02,1082106.22
Hypsilophodontidae,Nest with eggs,196421.53,220539.43
Hypsilophodontidae,Skull,443673.87,503365.8
Tarbosauridae,Skeleton,2259177.02,2682709.69
Camptosauridae,Skeleton,988087.33,1137215.16
Camptosauridae,Femur,562409.87,622264.94
Diplodocidae,Skull,3519187.61,4151027.99
Unidentified,Virtually complete skeleton,522072.15,620300.79
Tyrannosauridae,Virtually complete skeleton,7980345.25,9248317.77
Tarbosauridae,Skeleton,2694072.85,2912949.05
Unidentified,Skull,356665.71,390513.47
Apatosauridae,Skull,6069410.05,6925069.87
Tyrannosauridae,Composite skeleton,7411915.62,8057889.11
Camptosauridae,Virtually complete skeleton,1146288.74,1324728.56
Tyrannosauridae,Composite skeleton,7752441.61,8983416.3
Ceratopsidae,Femur,699067.77,764143.62
Diplodocidae,Skeleton,4374934.01,4846804.94
Ceratopsidae,Virtually complete skeleton,1281022.94,1352830.94
Diplodocidae,Skeleton,4786701.98,5394624.4
Thescelosauridae,Skeleton,538441.21,601343.8
Allosauridae,Articulated leg,1874755.6,2141285.93
Tarbosauridae,Femur,1321769.79,1523912.31
Ceratopsidae,Skull,742068.51,866482.91
Tarbosauridae,Composite skeleton,2178668.92,2522453.55
Thescelosauridae,Partial skeleton,383785.69,408210.15
Diplodocidae,Virtually complete skeleton,4865357.21,5125088.45
Camptosauridae,Virtually complete skeleton,1259524.49,1483118.4
Thescelosauridae,Partial skeleton,355921.2,403713.02
Hadrosauridae,Virtually complete skeleton,2081731.03,2279719.74
Hadrosauridae,Virtually complete skeleton,2145062.96,2364003.78
Camptosauridae,Nest with eggs,344522.13,377545.33
Apatosauridae,Nest with eggs,2883357.35,3452127.46
Tarbosauridae,Skeleton,1986856.11,2226528.98
Allosauridae,Partial skeleton,2078065.93,2420000.98
Camptosauridae,Femur,534304.04,625981.53
Tyrannosauridae,Partial skeleton,6838868.75,7669678.22
Tyrannosauridae,Partial skeleton,5743561.12,6564775.18
Allosauridae,Nest with eggs,1026705.78,1149696.81
Tyrannosauridae,Nest with eggs,2965566.18,3371472.98
Tyrannosauridae,Partial skeleton,6525939.09,7243378.28
Ceratopsidae,Femur,548560.12,623328.38
Hypsilophodontidae,Articulated leg,358709.66,396564.25
Tyrannosauridae,Virtually complete skeleton,8755117.22,10097928.63
Camptosauridae,Articulated leg,541787.92,576055.63
Stegosauridae,Partial skeleton,11376653.9,13293672.07
Hypsilophodontidae,Articulated leg,303808.75,363771.14
Stegosauridae,Skull,10748174.94,12276645.66
Tarbosauridae,Partial skeleton,1830095.25,1984646.69
Diplodocidae,Partial skeleton,3844631.63,4241038.06
Stegosauridae,Skull,11411410.86,12538022.05
Allosauridae,Composite skeleton,2850238.21,3075152.44
Diplodocidae,Partial skeleton,3300778.58,3912930.26
Tarbosauridae,Nest with eggs,811244.33,961626.57
Unidentified,Virtually complete skeleton,432575.24,473300.98
Allosauridae,Skull,1800203.55,2077630.85
Ceratopsidae,Composite skeleton,1175282.68,1341906.15
Hadrosauridae,Femur,1132354.01,1296134.07
Tyrannosauridae,Nest with eggs,2666488.57,2982947.15
Stegosauridae,Nest with eggs,4418603.99,5259675.63
Tarbosauridae,Skeleton,2518126.34,2778013.06
Allosauridae,Nest with eggs,867102.26,1034257.91
Thescelosauridae,Skull,328988.22,385640.37
Camptosauridae,Nest with eggs,397064.78,434753.44
Apatosauridae,Femur,4527224.62,4924845.33
Unidentified,Nest with eggs,160753.32,184949.98
Hypsilophodontidae,Femur,346648.71,391949.8
Ceratopsidae,Composite skeleton,1265103.61,1499026.26
Apatosauridae,Virtually complete skeleton,11533517.45,13580248.9
Dromaeosauridae,Skeleton,3957538.39,4639691.21
Camptosauridae,Virtually complete skeleton,1113248.33,1309669.05
Thescelosauridae,Femur,314039.19,353974.1
Camptosauridae,Articulated leg,628555.29,684608.67
Stegosauridae,Skull,11595081.19,12985221.85
Stegosauridae,Femur,7242316.2,8371057.58
Camptosauridae,Composite skeleton,898700.06,1047488.42
Allosauridae,Articulated leg,2310785.99,2614653.83
Ceratopsidae,Skull,891096.26,970359.57
Ceratopsidae,Nest with eggs,408217.71,442991.5
Tyrannosauridae,Partial skeleton,5229642.3,5559797.41
Apatosauridae,Composite skeleton,9311413.47,9972127.47
Apatosauridae,Skeleton,7870492.33,8951520.19
Unidentified,Nest with eggs,154981.41,180955.98
Diplodocidae,Nest with eggs,1554804.31,1761789.83
Stegosauridae,Composite skeleton,14168765.92,15313867.03
Dromaeosauridae,Composite skeleton,3830240.51,4073818.73
Hypsilophodontidae,Nest with eggs,177926.36,211338.39
Stegosauridae,Partial skeleton,12202961.26,14339658.63
Diplodocidae,Femur,2408408.96,2737791.69
Tarbosauridae,Skeleton,1963417.93,2072670.36
Apatosauridae,Articulated leg,5261387.23,5716919.33
Diplodocidae,Virtually complete skeleton,5310582.09,6303276.11
Diplodocidae,Composite skeleton,4808616.38,5702571.92
Camptosauridae,Virtually complete skeleton,1112730.4,1183180.86
Tarbosauridae,Skull,1453262.43,1614012.61
Unidentified,Virtually complete skeleton,506512.81,533335.36
Allosauridae,Skull,1868831.08,2208180.53
Tyrannosauridae,Nest with eggs,2572380.04,2826135.7
Stegosauridae,Skeleton,15376299.58,17216369.41
Tyrannosauridae,Femur,3347432.47,3944911.04
Dromaeosauridae,Skull,2514535.2,2762858.93
Dromaeosauridae,Composite skeleton,3611481.4,4189334.58
